Логи трех прогонов: 512Мб,1Гб,2Гб,4Гб,8Гб,16Гб,32Гб,64Гб,128Гб.

32Мб,64Мб,128Мб,256Мб FAILED

C:\Users\User\rand>dieharder.exe -a -g 201 -f 512r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        512r.bin|  5.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
        dab_monobit2|  12|  65000000|       1|0.62275628|  PASSED



C:\Users\User\rand>dieharder.exe -a -g 201 -f 2r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                          2r.bin|  5.75e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.99718907|   WEAK
      diehard_operm5|   0|   1000000|     100|0.20371157|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.52421251|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.32796377|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.86300235|  PASSED
# The file file_input_raw was rewound 1 times
        diehard_opso|   0|   2097152|     100|0.42042856|  PASSED
# The file file_input_raw was rewound 1 times
        diehard_oqso|   0|   2097152|     100|0.87285185|  PASSED
# The file file_input_raw was rewound 1 times
         diehard_dna|   0|   2097152|     100|0.15864382|  PASSED
# The file file_input_raw was rewound 1 times
diehard_count_1s_str|   0|    256000|     100|0.02702343|  PASSED
# The file file_input_raw was rewound 1 times
diehard_count_1s_byt|   0|    256000|     100|0.83476284|  PASSED
# The file file_input_raw was rewound 1 times
 diehard_parking_lot|   0|     12000|     100|0.94334354|  PASSED
# The file file_input_raw was rewound 1 times
    diehard_2dsphere|   2|      8000|     100|0.41128593|  PASSED
# The file file_input_raw was rewound 1 times
    diehard_3dsphere|   3|      4000|     100|0.63458336|  PASSED
# The file file_input_raw was rewound 2 times
     diehard_squeeze|   0|    100000|     100|0.99565652|   WEAK
# The file file_input_raw was rewound 2 times
        diehard_sums|   0|       100|     100|0.09175483|  PASSED
# The file file_input_raw was rewound 2 times
        diehard_runs|   0|    100000|     100|0.14294826|  PASSED
        diehard_runs|   0|    100000|     100|0.92459910|  PASSED
# The file file_input_raw was rewound 2 times
       diehard_craps|   0|    200000|     100|0.84258997|  PASSED
       diehard_craps|   0|    200000|     100|0.74134477|  PASSED
# The file file_input_raw was rewound 6 times
 marsaglia_tsang_gcd|   0|  10000000|     100|0.09084791|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.57373339|  PASSED
# The file file_input_raw was rewound 6 times
         sts_monobit|   1|    100000|     100|0.59382461|  PASSED
# The file file_input_raw was rewound 6 times
            sts_runs|   2|    100000|     100|0.62374085|  PASSED
# The file file_input_raw was rewound 6 times
          sts_serial|   1|    100000|     100|0.93150316|  PASSED
          sts_serial|   2|    100000|     100|0.44421429|  PASSED
          sts_serial|   3|    100000|     100|0.21562902|  PASSED
          sts_serial|   3|    100000|     100|0.92782706|  PASSED
